Drug,Rule_Num,Rule_Header,Matched_Cancers,Potential_New_Cancers,Full_Text_Length
9.18. Trastuzumab (如Herceptin)：(91/4/1、93/8/1、95/2/1、99/1/1、99/8/1、99/10/1、101/1/1、105/11/1、108/5/1、109/2/1、111/12/1、112/10/1、113/8/1、113/12/1、114/1/1、114/5/1、114/12/1、115/7/1、115/8/1),4.,4.經事前審查核准後使用，核准後早期乳癌及轉移性胃癌每24週、晚期乳癌每18週須檢附療效評估資料再次申請，若疾病有惡化情形即不應再行申請。（105/11/1、114/5/1）,"乳癌, 胃癌","及轉移性胃癌, 晚期乳癌, 核准後早期乳癌",87
9.19.Estramustine sod. phosphate monohydrate(如Estracyt)：(91/4/1),一般,(無標題),攝護腺癌,限晚期前列腺癌,22
9.19.Estramustine sod. phosphate monohydrate(如Estracyt)：(91/4/1),1.,1.經荷爾蒙治療無效。,無符合,無,11
9.19.Estramustine sod. phosphate monohydrate(如Estracyt)：(91/4/1),2.,2.經診斷對單獨使用荷爾蒙治療，具有預後療效不佳因素的初次治療病患。,無符合,無,34
9.20.Rituximab注射劑(如Mabthera，不同劑型之適用範圍需符合藥品許可證登載之適應症)：用於抗癌瘤部分(91/4/1、93/1/1、95/3/1、97/2/1、102/1/1、103/2/1、103/9/1、104/6/1、106/9/1、111/6/1、113/2/1、113/12/1、115/5/1、115/6/1),1.,1.復發或對化學療效有抗性之低惡度B細胞非何杰金氏淋巴瘤。（91/4/1）,淋巴瘤,細胞非何杰金氏淋巴瘤,37
9.20.Rituximab注射劑(如Mabthera，不同劑型之適用範圍需符合藥品許可證登載之適應症)：用於抗癌瘤部分(91/4/1、93/1/1、95/3/1、97/2/1、102/1/1、103/2/1、103/9/1、104/6/1、106/9/1、111/6/1、113/2/1、113/12/1、115/5/1、115/6/1),2.,2.併用polatuzumab vedotin或CHOP或其他化學療法，用於CD20抗原陽性之B瀰漫性大細胞非何杰金氏淋巴瘤之病患。(93/1/1、95/3/1、113/2/1),淋巴瘤,大細胞非何杰金氏淋巴瘤,89
9.20.Rituximab注射劑(如Mabthera，不同劑型之適用範圍需符合藥品許可證登載之適應症)：用於抗癌瘤部分(91/4/1、93/1/1、95/3/1、97/2/1、102/1/1、103/2/1、103/9/1、104/6/1、106/9/1、111/6/1、113/2/1、113/12/1、115/5/1、115/6/1),3.,3.併用CVP化學療法，用於未經治療之和緩性（組織型態為濾泡型）B細胞非何杰金氏淋巴瘤的病人。(95/3/1),淋巴瘤,細胞非何杰金氏淋巴瘤,55
9.20.Rituximab注射劑(如Mabthera，不同劑型之適用範圍需符合藥品許可證登載之適應症)：用於抗癌瘤部分(91/4/1、93/1/1、95/3/1、97/2/1、102/1/1、103/2/1、103/9/1、104/6/1、106/9/1、111/6/1、113/2/1、113/12/1、115/5/1、115/6/1),4.,4.作為濾泡性淋巴瘤患者於接受含rituximab誘導化學治療後產生反應(達partial remission或complete remission)之病患，若在接受含rituximab誘導化學治療前有下列情形之一者，得接受rituximab維持治療，限用八劑，每三個月使用一劑，最多不超過二年。(9,淋巴瘤,"作為濾泡性淋巴瘤, 有單一腫瘤, 有超過三顆腫瘤",357
9.20.Rituximab注射劑(如Mabthera，不同劑型之適用範圍需符合藥品許可證登載之適應症)：用於抗癌瘤部分(91/4/1、93/1/1、95/3/1、97/2/1、102/1/1、103/2/1、103/9/1、104/6/1、106/9/1、111/6/1、113/2/1、113/12/1、115/5/1、115/6/1),5.,5.慢性淋巴球性白血病：(103/2/1、111/6/1),白血病,"慢性淋巴球性白血病, 陽性慢性淋巴球性白血病",439
9.20.Rituximab注射劑(如Mabthera，不同劑型之適用範圍需符合藥品許可證登載之適應症)：用於抗癌瘤部分(91/4/1、93/1/1、95/3/1、97/2/1、102/1/1、103/2/1、103/9/1、104/6/1、106/9/1、111/6/1、113/2/1、113/12/1、115/5/1、115/6/1),6.,6.與類固醇併用，治療嗜中性白血球細胞質抗體(ANCA)陽性之肉芽腫性血管炎及顯微多發性血管炎病人：(103/9/1),無符合,無,499
9.20.Rituximab注射劑(如Mabthera，不同劑型之適用範圍需符合藥品許可證登載之適應症)：用於抗癌瘤部分(91/4/1、93/1/1、95/3/1、97/2/1、102/1/1、103/2/1、103/9/1、104/6/1、106/9/1、111/6/1、113/2/1、113/12/1、115/5/1、115/6/1),7.,7.合併bendamustine適用於先前未曾接受治療的CD20陽性、第III/IV期和緩性非何杰金氏淋巴瘤。(113/12/1),淋巴瘤,和緩性非何杰金氏淋巴瘤,65
9.20.Rituximab注射劑(如Mabthera，不同劑型之適用範圍需符合藥品許可證登載之適應症)：用於抗癌瘤部分(91/4/1、93/1/1、95/3/1、97/2/1、102/1/1、103/2/1、103/9/1、104/6/1、106/9/1、111/6/1、113/2/1、113/12/1、115/5/1、115/6/1),8.,8.合併bendamustine用於先前未曾接受治療且不適合自體幹細胞移植的第III/IV期被套細胞淋巴瘤。(113/12/1),淋巴瘤,期被套細胞淋巴瘤,64
