Drug,Rule_Num,Rule_Header,Matched_Cancers,Potential_New_Cancers,Full_Text_Length
9.44.1.Azacitidine 注射劑（如Vidaza）：（102/1/1、111/5/1、111/8/1、112/2/1、112/8/1、114/3/1、114/8/1、114/12/1）,2.,"2.Azacitidine(除Winduza及Azacitidine Lyophilized Inj 100mg""GBC""以外)併用venetoclax，使用於無法接受高強度化學治療之初診斷急性骨髓性白血病(AML)病人。(114/8/1)",白血病,療之初診斷急性骨髓性白血病,474
9.44.2.Azacitidine 口服製劑（如Onureg）：(114/5/1、114/10/1）,1.,1.	用於不適合接受造血幹細胞移植(HSCT)之急性骨髓性白血病 (AML)成人病人，作為維持治療，且須同時符合下列條件：,白血病,之急性骨髓性白血病,246
9.44.2.Azacitidine 口服製劑（如Onureg）：(114/5/1、114/10/1）,2.,2.	需經事前審查核准後使用，初次申請為3個療程，需檢附染色體檢測結果報告；每3個療程需再次申請，可治療至疾病復發 (定義為周邊血或骨髓觀察到的芽細胞超過5%或新出現髓外侵犯)或無法耐受藥物毒性為止。,無符合,無,100
9.44.2.Azacitidine 口服製劑（如Onureg）：(114/5/1、114/10/1）,3.,3.	每人以24個療程為上限。,無符合,無,15
9.44.2.Azacitidine 口服製劑（如Onureg）：(114/5/1、114/10/1）,4.,4.	不得與midostaurin、venetoclax及gilteritinib等標靶藥品併用。,無符合,無,49
9.44.2.Azacitidine 口服製劑（如Onureg）：(114/5/1、114/10/1）,5.,5.	病人接受本藥物治療後，不再給付造血幹細胞移植。,無符合,無,26
9.44.2.Azacitidine 口服製劑（如Onureg）：(114/5/1、114/10/1）,6.,6.本藥品與quizartinib僅得擇一使用，除因耐受性不良，不得互換。(114/10/1),無符合,無,47
9.45.Afatinib（如Giotrif）：(103/5/1、106/11/1、108/6/1、108/11/1、109/4/1、109/6/1、109/10/1、111/4/1、113/3/1、113/6/1、113/10/1、115/8/1),1.,1. 限單獨使用於：,肺癌,"之肺腺癌, 之鱗狀組織非小細胞肺癌",187
9.45.Afatinib（如Giotrif）：(103/5/1、106/11/1、108/6/1、108/11/1、109/4/1、109/6/1、109/10/1、111/4/1、113/3/1、113/6/1、113/10/1、115/8/1),2.,2.使用注意事項(106/11/1、108/6/1、109/4/1、109/10/1、111/4/1、113/3/1、115/8/1）,肺癌,"之鱗狀組織非小細胞肺癌, 局部晚期或轉移性肺腺癌, 歷應留存確實患有肺腺癌, 部侵犯性或轉移性肺腺癌",1092
9.46.Tegafur/gimeracil/oteracil複方製劑(如TS-1）：(103/6/1、105/12/1、109/2/1、113/2/1),1.,1.治療局部晚期無法手術切除或轉移性胰臟癌病人。,胰臟癌,手術切除或轉移性胰臟癌,24
9.46.Tegafur/gimeracil/oteracil複方製劑(如TS-1）：(103/6/1、105/12/1、109/2/1、113/2/1),2.,2.胃癌(105/12/1),胃癌,胃癌且接受過胃癌,94
9.46.Tegafur/gimeracil/oteracil複方製劑(如TS-1）：(103/6/1、105/12/1、109/2/1、113/2/1),3.,3.非小細胞肺癌(109/2/1),肺癌,或轉移性之非小細胞肺癌,80
9.46.Tegafur/gimeracil/oteracil複方製劑(如TS-1）：(103/6/1、105/12/1、109/2/1、113/2/1),4.,4.與gemcitabine合併使用作為晚期或復發之膽道癌第一線治療。(113/2/1),膽道癌,作為晚期或復發之膽道癌,44
9.47.Lapatinib（如Tykerb）：（103/9/1、106/11/1、110/2/1、114/2/1）,1.,"1.與capecitabine併用，使用於曾接受anthracycline, taxane以及trastuzumab治療後病況惡化之轉移性乳癌併有腦部轉移，且為HER2過度表現(IHC3+或FISH+)病人。",乳癌,化之轉移性乳癌,104
9.47.Lapatinib（如Tykerb）：（103/9/1、106/11/1、110/2/1、114/2/1）,2.,2.每3個月需進行療效評估，病歷應留存評估紀錄，無疾病惡化方可繼續使用。(106/11/1),無符合,無,46
9.47.Lapatinib（如Tykerb）：（103/9/1、106/11/1、110/2/1、114/2/1）,3.,3. Lapatinib、trastuzumab emtansine和trastuzumab deruxtecan僅能擇一給付，不得互換。(110/2/1、114/2/1),無符合,無,86
9.48.Eribulin（如Halaven）：（103/12/1、106/11/1、108/12/1、110/2/1）,1.,1.轉移性乳癌：,乳癌,"兩種針對轉移性乳癌, 於治療上述之轉移性乳癌, 用於治療轉移性乳癌, 轉移性乳癌",213
9.48.Eribulin（如Halaven）：（103/12/1、106/11/1、108/12/1、110/2/1）,2.,2.脂肪肉瘤：(108/12/1),無符合,"手術切除或轉移性脂肪肉瘤, 脂肪肉瘤",137
9.49. Abiraterone(如Zytiga）：（103/12/1、105/9/1、106/9/1、108/3/1、109/5/1、109/10/1、110/2/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、113/9/1、114/6/1）,1.,1.與雄性素去除療法及prednisone或prednisolone併用，治療新診斷高風險轉移性的去勢敏感性前列腺癌(mCSPC)的成年男性(ECOG分數須≦1)。高風險需符合下列三項條件中至少兩項：(109/5/1、110/2/1、113/8/1）,攝護腺癌,性的去勢敏感性前列腺癌,220
9.49. Abiraterone(如Zytiga）：（103/12/1、105/9/1、106/9/1、108/3/1、109/5/1、109/10/1、110/2/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、113/9/1、114/6/1）,2.,2.與prednisone或prednisolone併用，治療藥物或手術去勢抗性的轉移性前列腺癌(mCRPC)，且在雄性素去除療法失敗後屬無症狀或輕度症狀(ECOG分數0或1)，未曾接受化學治療者：（106/9/1）,攝護腺癌,"勢抗性的轉移性前列腺癌, 演化成去勢抗性前列腺癌",287
9.49. Abiraterone(如Zytiga）：（103/12/1、105/9/1、106/9/1、108/3/1、109/5/1、109/10/1、110/2/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、113/9/1、114/6/1）,3.,3.與prednisone或prednisolone併用，治療藥物或手術去勢抗性的轉移性前列腺癌(ECOG分數須≦2)且已使用過docetaxel 2個療程以上治療無效者。,攝護腺癌,勢抗性的轉移性前列腺癌,86
9.49. Abiraterone(如Zytiga）：（103/12/1、105/9/1、106/9/1、108/3/1、109/5/1、109/10/1、110/2/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、113/9/1、114/6/1）,4.,4.與olaparib及prednisone或prednisolone，用於具germline或 somatic BRCA 1/2致病性或疑似致病性突變之成人病人，患者需符合olaparib藥品給付規定。(114/6/1),無符合,無,111
9.49. Abiraterone(如Zytiga）：（103/12/1、105/9/1、106/9/1、108/3/1、109/5/1、109/10/1、110/2/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、113/9/1、114/6/1）,5.,5.前述1、2、3項須經事前審查核准後使用，每3個月需再次申請。（111/3/1）,攝護腺癌,"去勢抗性前列腺癌, 性的去勢敏感性前列腺癌",412
9.49. Abiraterone(如Zytiga）：（103/12/1、105/9/1、106/9/1、108/3/1、109/5/1、109/10/1、110/2/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、113/9/1、114/6/1）,6.,6.不論病人處於轉移或非轉移的狀態下，新型荷爾蒙藥品(abiraterone、apalutamide、darolutamide和enzalutamide) 及olaparib 與 abiraterone併用，終生僅給付一種治療，且除非出現嚴重不耐受反應導致必須永久停止治療，不得互換。(112/9/1,無符合,無,159
9.49. Abiraterone(如Zytiga）：（103/12/1、105/9/1、106/9/1、108/3/1、109/5/1、109/10/1、110/2/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、113/9/1、114/6/1）,7.,7.本品與radium-223 dichloride不得合併使用。(108/3/1),無符合,無,42
9.50.Crizotinib (如Xalkori)：(104/9/1、106/11/1、107/5/1、108/7/1、108/9/1、108/12/1、110/7/1、111/2/1、111/8/1、112/11/1、113/6/1、113/9/1),一般,(無標題),肺癌,"具確實患有非小細胞肺癌, 陽性之晚期非小細胞肺癌",652
9.51.Regorafenib（如Stivarga）：（104/9/1、105/8/1、107/12/1、108/6/1、110/5/1、110/6/1、113/6/1）,1.,1.轉移性大腸直腸癌(mCRC)：,結直腸癌,"療法的轉移性大腸直腸癌, 轉移性大腸直腸癌",307
9.51.Regorafenib（如Stivarga）：（104/9/1、105/8/1、107/12/1、108/6/1、110/5/1、110/6/1、113/6/1）,2.,2.胃腸道間質瘤(GIST) (105/8/1）,胃腸道基質瘤,"或轉移性的胃腸道間質瘤, 胃腸道間質瘤",127
9.51.Regorafenib（如Stivarga）：（104/9/1、105/8/1、107/12/1、108/6/1、110/5/1、110/6/1、113/6/1）,3.,3.肝細胞癌(HCC)：(108/6/1、110/5/1),肝癌,晚期肝細胞癌,243
9.51.Regorafenib（如Stivarga）：（104/9/1、105/8/1、107/12/1、108/6/1、110/5/1、110/6/1、113/6/1）,4.,4.本藥品不得與trifluridine/tipiracil併用。(107/12/1),無符合,無,43
9.52.Vemurafenib(如Zelboraf)：(104/11/1、110/3/1、113/6/1）,1.,1. 用於治療BRAF V600突變陽性ECOG≤2且罹患無法切除(第ⅢC期)或轉移性(第Ⅳ期)黑色素瘤之病人。需檢附BRAF V600基因突變分析檢測報告，且需符合全民健康保險藥品給付規定之通則十二。(113/6/1),黑色素瘤,無,110
9.52.Vemurafenib(如Zelboraf)：(104/11/1、110/3/1、113/6/1）,2.,2.需經事前審查核准後使用，每次申請療程以三個月為限，如發現病情惡化應停止使用。再申請應檢附前次治療結果評估資料。,無符合,無,57
9.52.Vemurafenib(如Zelboraf)：(104/11/1、110/3/1、113/6/1）,3.,3.本品與dabrafenib (併用trametinib) 僅能擇一使用，除因耐受性不良，不得互換。(110/3/1）,無符合,無,60
9.53.Panitumumab（如Vectibix）：(105/4/1、107/6/1、110/6/1、113/6/1、115/2/1),1.,1. 與FOLFOX（folinicacid/ 5-fluorouracil/oxaliplatin）或FOLFIRI（folinic acid/ 5-fluorouracil/irinotecan）合併使用於治療RAS原生型(wild-type)之轉移性直腸結腸癌病人之第一線治療。需檢附All-R,結直腸癌,之轉移性直腸結腸癌,408
9.53.Panitumumab（如Vectibix）：(105/4/1、107/6/1、110/6/1、113/6/1、115/2/1),2.,2.治療已接受過含 5 fluorouracil 、 irinotecan 及oxaliplatin二線以上之細胞毒性治療失敗、RAS原生型(wild-type)的轉移性直腸結腸癌的病人。需檢附All-RAS基因突變分析檢測報告，且需符合全民健康保險藥品給付規定之通則十二。 (115/2/1),結直腸癌,的轉移性直腸結腸癌,268
9.54. Enzalutamide（如Xtandi）：（105/9/1、106/9/1、108/3/1、109/10/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、114/6/1、114/10/1）,1.,1.治療高風險非轉移性去勢抗性前列腺癌(high risk nmCRPC)的成年男性。(112/9/1),攝護腺癌,轉移性去勢抗性前列腺癌,554
9.54. Enzalutamide（如Xtandi）：（105/9/1、106/9/1、108/3/1、109/10/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、114/6/1、114/10/1）,2.,2.治療高風險轉移性的去勢敏感性前列腺癌(mCSPC)，且與雄性素去除療法併用，總療程以36個月為上限。高風險需符合下列三項條件中至少兩項：（111/3/1、113/8/1、114/10/1）,攝護腺癌,性的去勢敏感性前列腺癌,191
9.54. Enzalutamide（如Xtandi）：（105/9/1、106/9/1、108/3/1、109/10/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、114/6/1、114/10/1）,3.,3.治療藥物或手術去勢抗性的轉移性前列腺癌(mCRPC)，且在雄性素去除療法失敗後屬無症狀或輕度症狀(ECOG分數0或1)，未曾接受化學治療者：(106/9/1),攝護腺癌,"勢抗性的轉移性前列腺癌, 演化成去勢抗性前列腺癌",261
9.54. Enzalutamide（如Xtandi）：（105/9/1、106/9/1、108/3/1、109/10/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、114/6/1、114/10/1）,4.,4.治療藥物或手術去勢抗性的轉移性前列腺癌(ECOG分數須≦2)且已使用過docetaxel 2個療程以上治療無效者。,攝護腺癌,勢抗性的轉移性前列腺癌,59
9.54. Enzalutamide（如Xtandi）：（105/9/1、106/9/1、108/3/1、109/10/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、114/6/1、114/10/1）,5.,5.前述2、3、4項須經事前審查核准後使用，每3個月需再次申請。（111/3/1、112/9/1）,無符合,無,236
9.54. Enzalutamide（如Xtandi）：（105/9/1、106/9/1、108/3/1、109/10/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、114/6/1、114/10/1）,6.,6.去勢抗性前列腺癌(CRPC)病患若於化學治療前先使用過enzalutamide，當化學治療失敗後不得再申請使用enzalutamide。(106/9/1),攝護腺癌,去勢抗性前列腺癌,79
9.54. Enzalutamide（如Xtandi）：（105/9/1、106/9/1、108/3/1、109/10/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、114/6/1、114/10/1）,7.,7.不論病人處於轉移或非轉移的狀態下，新型荷爾蒙藥品(abiraterone、apalutamide、darolutamide和enzalutamide) 及olaparib 與 abiraterone併用，終生僅給付一種治療，且除非出現嚴重不耐受反應導致必須永久停止治療，不得互換。(112/9/1,無符合,無,159
9.54. Enzalutamide（如Xtandi）：（105/9/1、106/9/1、108/3/1、109/10/1、110/3/1、110/11/1、111/3/1、112/9/1、113/8/1、114/6/1、114/10/1）,8.,8.本品與radium-223 dichloride不得合併使用。(108/3/1),無符合,無,42
9.55.Ruxolitinib(如Jakavi)：(105/10/1、113/3/1、113/6/1、114/1/1、114/10/1),1.,1.用於治療International Working  Group(IWG) Consensus Criteria中度風險-2或高風險之骨髓纖維化，包括原發性骨髓纖維化、真性紅血球增多症後骨髓纖維化、或血小板增多症後骨髓纖維化等疾病所造成脾臟腫大(symptomatic splenomegaly),無符合,無,980
9.55.Ruxolitinib(如Jakavi)：(105/10/1、113/3/1、113/6/1、114/1/1、114/10/1),2.,2.移植物抗宿主疾病，限用Jakavi 5mg，每日最多使用4 粒。(113/3/1),無符合,無,1308
9.56. Brentuximab vedotin(如Adcetris)：(105/10/1、106/4/1、109/2/1、111/2/1、114/12/1),一般,(無標題),無符合,無,8
9.56. Brentuximab vedotin(如Adcetris)：(105/10/1、106/4/1、109/2/1、111/2/1、114/12/1),1.,1.何杰金氏淋巴瘤(HL)：（111/2/1),淋巴瘤,"何杰金氏淋巴瘤, 期何杰金氏淋巴瘤",747
9.56. Brentuximab vedotin(如Adcetris)：(105/10/1、106/4/1、109/2/1、111/2/1、114/12/1),2.,2.全身性退行分化型大細胞淋巴瘤(systemic anaplastic large cell lymphoma；sALCL)：（111/2/1),淋巴瘤,退行分化型大細胞淋巴瘤,548
9.56. Brentuximab vedotin(如Adcetris)：(105/10/1、106/4/1、109/2/1、111/2/1、114/12/1),3.,3.CD30+皮膚T細胞淋巴瘤(CTCL)：（111/2/1、114/12/1）,淋巴瘤,"的腫瘤, 細胞淋巴瘤, 退行分化型大細胞淋巴瘤",326
9.57.Clofarabine（如Evoltra）：（106/1/1、109/12/1）,1.,1.使用於先前接受至少兩種化療療程(如TPOG之療程表)治療無效或已復發第二次或以上之急性淋巴母細胞白血病(acute lymphoblastic leukemia)病，且計畫進行造血幹細胞移植的病人(限21歲以下)，每位病人限給付一療程。,白血病,以上之急性淋巴母細胞白血病,120
9.57.Clofarabine（如Evoltra）：（106/1/1、109/12/1）,2.,2.須事前審查核准後使用，申請時須檢附完整之造血幹細胞移植計畫，並詳細記載確認捐贈者名單、確認移植之執行醫院及移植前調適治療等資料。,無符合,無,66
9.57.Clofarabine（如Evoltra）：（106/1/1、109/12/1）,3.,3.不得與blinatumomab併用。（109/12/1）,無符合,無,30
9.58.Axitinib(如Inlyta)：（106/1/1、108/12/1）,1.,1.治療已接受過sunitinib或cytokine治療失敗的晚期腎細胞癌病患。,腎細胞癌,治療失敗的晚期腎細胞癌,40
9.58.Axitinib(如Inlyta)：（106/1/1、108/12/1）,2.,2.無效後則不給付temsirolimus。(108/12/1),無符合,無,32
9.58.Axitinib(如Inlyta)：（106/1/1、108/12/1）,3.,3.需經事前審查核准後使用，每次申請之療程以3個月為限，送審時需檢送影像資料，每3個月評估一次。,無符合,無,48
9.59.Ceritinib(如Zykadia)：(106/9/1、106/11/1、108/7/1、108/12/1、111/2/1、111/8/1、112/11/1、113/6/1),一般,(無標題),肺癌,"具確實患有非小細胞肺癌, 陽性之晚期非小細胞肺癌",466
9.60.Alectinib(如Alecensa)：(106/11/1、108/12/1、111/2/1、111/8/1、112/11/1、113/6/1),一般,(無標題),肺癌,"具確實患有非小細胞肺癌, 陽性之晚期非小細胞肺癌",452
9.61.Ibrutinib (如Imbruvica)：(106/11/1、108/9/1、111/1/1、112/7/1、112/12/1、113/2/1、114/10/1、115/5/1),1.,1.單獨使用於先前接受過至少一種化學或標靶治療方式無效或復發的被套細胞淋巴瘤成年病人。（106/11/1、112/7/1、112/12/1、115/5/1),淋巴瘤,或復發的被套細胞淋巴瘤,342
9.61.Ibrutinib (如Imbruvica)：(106/11/1、108/9/1、111/1/1、112/7/1、112/12/1、113/2/1、114/10/1、115/5/1),2.,2.單獨使用於慢性淋巴球性白血病(CLL)成年病人。（108/9/1、112/7/1、113/2/1、115/5/1),白血病,獨使用於慢性淋巴球性白血病,967
9.62. Pomalidomide(如Pomalyst):(107/1/1、109/2/1、112/4/1、113/9/1),1.,1.與dexamethasone合併使用，核准用於多發性骨髓瘤病人，且先前接受過含lenalidomide和bortezomib在內的至少兩種療法，且確認完成前次治療時或結束治療後六十天內發生疾病惡化(disease progression)。,多發性骨髓瘤,核准用於多發性骨髓瘤,122
9.62. Pomalidomide(如Pomalyst):(107/1/1、109/2/1、112/4/1、113/9/1),2.,2.限與elotuzumab及dexamethasone併用，治療之前曾接受過至少兩種療法（包括lenalidomide和蛋白酶體抑制劑）的多發性骨髓瘤成年病人。（113/9/1）,多發性骨髓瘤,的多發性骨髓瘤,90
9.62. Pomalidomide(如Pomalyst):(107/1/1、109/2/1、112/4/1、113/9/1),3.,3.需經事前審查核准後使用：（107/1/1、112/4/1）,多發性骨髓瘤,無,972
9.62. Pomalidomide(如Pomalyst):(107/1/1、109/2/1、112/4/1、113/9/1),4.,4.每人終生以10個療程為上限，Pomado則每人以6個療程為上限。（107/1/1、112/4/1、113/9/1）,無符合,無,59
9.62. Pomalidomide(如Pomalyst):(107/1/1、109/2/1、112/4/1、113/9/1),5.,5.不得與其他蛋白酶體抑制劑(proteasome inhibitor)或免疫調節劑(immunomodulatory drugs)併用。 (109/2/1、112/4/1),無符合,無,87
9.62. Pomalidomide(如Pomalyst):(107/1/1、109/2/1、112/4/1、113/9/1),6.,6.112年3月31日以前已核定用藥之病人，得經事前審查核准後，使用至總療程上限（即終生10個療程，Pomado則每人6個療程）或使用期間發生疾病惡化為止。（112/4/1、113/9/1）,無符合,無,95
9.62. Pomalidomide(如Pomalyst):(107/1/1、109/2/1、112/4/1、113/9/1),7.,7.每日最多處方1粒(113/9/1),無符合,無,19
"9.63. Lenvatinib(如Lenvima)：(107/7/1、109/1/1、109/8/1、112/8/1、114/2/1、114/6/1)
1.用於放射性碘治療無效之局部晚期或轉移性的進行性(progressive)分化型甲狀腺癌(RAI-RDTC)：",一般,(無標題),無符合,無,89
"9.63. Lenvatinib(如Lenvima)：(107/7/1、109/1/1、109/8/1、112/8/1、114/2/1、114/6/1)
1.用於放射性碘治療無效之局部晚期或轉移性的進行性(progressive)分化型甲狀腺癌(RAI-RDTC)：",2.,2.晚期肝細胞癌部分：(109/1/1、109/8/1、112/8/1、114/2/1、114/6/1),肝癌,晚期肝細胞癌,524
9.64.Blinatumomab(如Blincyto)：(107/9/1、109/12/1、112/12/1),1.,1.	適用於治療先前接受至少兩種化療療程(如TPOG之療程表)治療無效或已復發第二次或以上費城染色體陰性復發型或頑固型B細胞前驅因子之急性淋巴芽細胞白血病之(Ph(-) Relapse/Refractory B-cell precursor Acute Lymphoblastic Leukemia；,白血病,因子之急性淋巴芽細胞白血病,213
9.64.Blinatumomab(如Blincyto)：(107/9/1、109/12/1、112/12/1),2.,2.用於復發型或頑固型B細胞前驅細胞之急性淋巴芽細胞白血病之未滿18歲兒童病人，且計畫進行造血幹細胞移植的病人，每位病人限給付2療程，不得與clofarabine併用。（109/12/1）,白血病,細胞之急性淋巴芽細胞白血病,94
9.64.Blinatumomab(如Blincyto)：(107/9/1、109/12/1、112/12/1),3.,3.用於治療微量殘留病灶(MRD)陽性B細胞前驅細胞之急性淋巴芽細胞白血病：(112/12/1),白血病,細胞之急性淋巴芽細胞白血病,595
9.64.Blinatumomab(如Blincyto)：(107/9/1、109/12/1、112/12/1),4.,4.	須事前審查核准後使用，申請時須檢附完整之造血幹細胞移植計畫，並詳細記載確認捐贈者名單、確認移植之執行醫院及移植前調適治療等資料。,無符合,無,67
9.64.Blinatumomab(如Blincyto)：(107/9/1、109/12/1、112/12/1),5.,5.病人已依前述第3項獲得給付治療者，不得再申請前述之第1、2項給付治療。(112/12/1),無符合,無,47
9.65.Pralatrexate(如Folotyn)：(107/10/1、110/5/1),1.,1.用於接受化學治療失敗後之復發或頑固性周邊T細胞淋巴瘤(PTCL)病患，作為進行骨髓/造血幹細胞移植期間之銜接治療。,淋巴瘤,細胞淋巴瘤,59
9.65.Pralatrexate(如Folotyn)：(107/10/1、110/5/1),2.,2.需經事前審查核准後使用，初次申請時應檢附移植計劃資料。,無符合,無,29
9.65.Pralatrexate(如Folotyn)：(107/10/1、110/5/1),3.,3.每人至多給付3個療程，第1個療程後需進行疾病評估，若病情仍持續惡化，應即停止使用。（110/5/1）,無符合,無,52
9.66.Trifluridine/tipiracil(如Lonsurf)：(107/12/1、109/12/1、110/6/1、113/6/1、115/2/1、115/6/1),1.,1.轉移性大腸直腸癌：(107/12/1、109/12/1、110/6/1、113/6/1、115/2/1、115/6/1),結直腸癌,"療法的轉移性大腸直腸癌, 轉移性大腸直腸癌",336
9.66.Trifluridine/tipiracil(如Lonsurf)：(107/12/1、109/12/1、110/6/1、113/6/1、115/2/1、115/6/1),2.,2.轉移性胃癌：(109/12/1、115/2/1)：用於治療先前曾接受兩種(含)以上治療（包括含fluoropyrimidine–、platinum–、taxane–或 irinotecan為基礎的化學療法，以及HER2/neu標靶治療[如果適合]）的轉移性胃腺癌或胃食道接合處腺癌病人。,胃癌,"或胃食道接合處腺癌, 的轉移性胃腺癌, 轉移性胃癌",145
9.66.Trifluridine/tipiracil(如Lonsurf)：(107/12/1、109/12/1、110/6/1、113/6/1、115/2/1、115/6/1),3.,3.病歷應留存確診之病理或檢查報告及影像診斷證明等，並紀錄治療相關臨床資料，以備查核。倘病人臨床症狀或影像顯示疾病惡化，則應停藥。(115/2/1),無符合,無,74
9.67.Ponatinib(如Iclusig)：(107/12/1、113/6/1、115/2/1),1.,1.用於費城染色體陽性或BCR-ABL融合基因陽性之慢性骨髓性白血病(CML)或急性淋巴性白血病(ALL)成人患者，且符合下列條件之一：,白血病,"基因陽性之慢性骨髓性白血病, 急性淋巴性白血病, 或急性期之慢性骨髓性白血病, 或急性淋巴性白血病",254
9.67.Ponatinib(如Iclusig)：(107/12/1、113/6/1、115/2/1),2.,2.需經事前審查核准後使用。首次申請事前審查之療程以3個月為限，之後每3個月需再次申請，再次申請時應檢附前次治療結果評估資料，包含BCR-ABL定量RT-PCR報告。,無符合,無,83
9.67.Ponatinib(如Iclusig)：(107/12/1、113/6/1、115/2/1),3.,3.若使用後未出現治療反應、無法耐受藥物副作用或疾病進展，則必須停止使用。,無符合,無,37
9.67.Ponatinib(如Iclusig)：(107/12/1、113/6/1、115/2/1),4.,4.1~3項規定內之疾病診斷或追蹤若需依據基因檢測報告，則需符合全民健康保險藥品給付規定之通則十二。(113/6/1),無符合,無,59
9.68.Radium-223(如Xofigo)：(108/3/1),一般,(無標題),攝護腺癌,於治療去勢抗性攝護腺癌,87
9.68.Radium-223(如Xofigo)：(108/3/1),1.,1.	患者須合併有症狀之骨轉移且骨轉移≧2處,無符合,無,22
9.68.Radium-223(如Xofigo)：(108/3/1),2.,2.	每位患者最高使用六個療程,無符合,無,15
9.68.Radium-223(如Xofigo)：(108/3/1),3.,3.	須經事前審查核准後使用，申請時需檢附：,無符合,無,97
9.68.Radium-223(如Xofigo)：(108/3/1),4.,4.	不得合併使用abiraterone、enzalutamide及其他治療因惡性腫瘤伴隨骨骼事件之藥品，如denosumab、bisphosphonates等。,無符合,及其他治療因惡性腫瘤,81
9.69.免疫檢查點抑制劑(如atezolizumab；nivolumab；pembrolizumab；avelumab；ipilimumab；durvalumab；tremelimumab；cemiplimab製劑)：(108/4/1、108/6/1、109/4/1、109/6/1、109/11/1、110/5/1、110/10/1、111/4/1、111/6/1、112/8/1、112/10/1、112/12/1、113/2/1、113/4/1、113/5/1、113/6/1、113/8/1、114/1/1、114/2/1、114/6/1、114/8/1、114/10/1、115/2/1、115/4/1、115/5/1、115/6/1、115/8/1),1.,1.本類藥品得於藥品許可證登載之適應症及藥品仿單內，單獨使用於下列患者：,"尿路上皮癌, 淋巴瘤, 結直腸癌, 肝癌, 肺癌, 胃癌, 腎細胞癌, 頭頸癌, 食道癌, 黑色素瘤","不含鼻咽癌, 之晚期鱗狀非小細胞肺癌, 之非小細胞肺癌, 其病理上為亮細胞癌, 典型何杰金氏淋巴瘤, 化的典型何杰金氏淋巴瘤, 型之晚期非小細胞肺腺癌, 或復發性食道鱗狀細胞癌, 或轉移性泌尿上皮癌, 晚期肝細胞癌, 晚期腎細胞癌, 無法手術切除且腫瘤, 疾病惡化之晚期腎細胞癌, 疾病惡化的轉移性胃腺癌, 療之轉移性泌尿道上皮癌, 第三期或第四期黑色素瘤, 轉移性第四期默克細胞癌, 轉移性胃癌, 轉移性非小細胞肺癌, 除或轉移性泌尿道上皮癌, 非鱗狀癌, 鱗狀癌, 鱗狀非小細胞肺癌, 默克細胞癌",2064
9.69.免疫檢查點抑制劑(如atezolizumab；nivolumab；pembrolizumab；avelumab；ipilimumab；durvalumab；tremelimumab；cemiplimab製劑)：(108/4/1、108/6/1、109/4/1、109/6/1、109/11/1、110/5/1、110/10/1、111/4/1、111/6/1、112/8/1、112/10/1、112/12/1、113/2/1、113/4/1、113/5/1、113/6/1、113/8/1、114/1/1、114/2/1、114/6/1、114/8/1、114/10/1、115/2/1、115/4/1、115/5/1、115/6/1、115/8/1),2.,2.本類藥品得於藥品許可證登載之適應症及藥品仿單內，併用其他藥品於下列患者：,"乳癌, 子宮體癌, 尿路上皮癌, 肝癌, 肺癌, 胃癌, 膽道癌, 食道癌","不含胃腸基質瘤, 及神經內分泌腫瘤, 壺腹癌, 局部晚期或轉移性膽道癌, 常的非鱗狀非小細胞肺癌, 惡性肋膜間皮瘤, 或轉移性食道鱗狀細胞癌, 或首次復發性子宮內膜癌, 早期三陰性乳癌, 晚期肝細胞癌, 法切除之惡性肋膜間皮瘤, 用於早期三陰性乳癌, 移性非鱗狀非小細胞肺癌, 轉移性鱗狀非小細胞肺癌, 過度表現的胃癌, 除或轉移性泌尿道上皮癌, 鱗狀細胞非小細胞肺癌",2928
